            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460159.729166667, A.D. 2023-Aug-03 05:30:00.0000,  3.130440258037515E+05, -1.721956366325492E+05, -2.620918855650154E+04,
2460159.750000000, A.D. 2023-Aug-03 06:00:00.0000,  3.140308697763168E+05, -1.704858581085550E+05, -2.611693138496252E+04,
2460159.770833333, A.D. 2023-Aug-03 06:30:00.0000,  3.150088276768792E+05, -1.687713056074303E+05, -2.602392858875093E+04,
2460159.791666667, A.D. 2023-Aug-03 07:00:00.0000,  3.159778744667545E+05, -1.670520294822696E+05, -2.593018307058974E+04,
2460159.812500000, A.D. 2023-Aug-03 07:30:00.0000,  3.169379854352046E+05, -1.653280802163652E+05, -2.583569775731367E+04,
2460159.833333333, A.D. 2023-Aug-03 08:00:00.0000,  3.178891362001565E+05, -1.635995084205706E+05, -2.574047559969228E+04,
2460159.854166667, A.D. 2023-Aug-03 08:30:00.0000,  3.188313027088926E+05, -1.618663648306613E+05, -2.564451957225201E+04,
2460159.875000000, A.D. 2023-Aug-03 09:00:00.0000,  3.197644612387153E+05, -1.601287003046921E+05, -2.554783267309656E+04,
2460159.895833333, A.D. 2023-Aug-03 09:30:00.0000,  3.206885883975846E+05, -1.583865658203531E+05, -2.545041792372616E+04,
2460159.916666667, A.D. 2023-Aug-03 10:00:00.0000,  3.216036611247283E+05, -1.566400124723225E+05, -2.535227836885531E+04,
2460159.937500000, A.D. 2023-Aug-03 10:30:00.0000,  3.225096566912265E+05, -1.548890914696187E+05, -2.525341707622955E+04,
2460159.958333333, A.D. 2023-Aug-03 11:00:00.0000,  3.234065527005679E+05, -1.531338541329500E+05, -2.515383713644087E+04,
2460159.979166667, A.D. 2023-Aug-03 11:30:00.0000,  3.242943270891813E+05, -1.513743518920643E+05, -2.505354166274168E+04,
2460160.000000000, A.D. 2023-Aug-03 12:00:00.0000,  3.251729581269383E+05, -1.496106362830972E+05, -2.495253379085800E+04,
2460160.020833333, A.D. 2023-Aug-03 12:30:00.0000,  3.260424244176312E+05, -1.478427589459201E+05, -2.485081667880132E+04,
2460160.041666667, A.D. 2023-Aug-03 13:00:00.0000,  3.269027048994231E+05, -1.460707716214882E+05, -2.474839350667915E+04,
2460160.062500000, A.D. 2023-Aug-03 13:30:00.0000,  3.277537788452726E+05, -1.442947261491887E+05, -2.464526747650476E+04,
2460160.083333333, A.D. 2023-Aug-03 14:00:00.0000,  3.285956258633308E+05, -1.425146744641894E+05, -2.454144181200565E+04,
2460160.104166667, A.D. 2023-Aug-03 14:30:00.0000,  3.294282258973128E+05, -1.407306685947888E+05, -2.443691975843118E+04,
2460160.125000000, A.D. 2023-Aug-03 15:00:00.0000,  3.302515592268427E+05, -1.389427606597666E+05, -2.433170458235892E+04,
2460160.145833333, A.D. 2023-Aug-03 15:30:00.0000,  3.310656064677722E+05, -1.371510028657361E+05, -2.422579957150015E+04,
2460160.166666667, A.D. 2023-Aug-03 16:00:00.0000,  3.318703485724733E+05, -1.353554475044987E+05, -2.411920803450451E+04,
2460160.187500000, A.D. 2023-Aug-03 16:30:00.0000,  3.326657668301045E+05, -1.335561469504002E+05, -2.401193330076355E+04,
2460160.208333333, A.D. 2023-Aug-03 17:00:00.0000,  3.334518428668515E+05, -1.317531536576898E+05, -2.390397872021334E+04,
2460160.229166667, A.D. 2023-Aug-03 17:30:00.0000,  3.342285586461414E+05, -1.299465201578814E+05, -2.379534766313650E+04,
2460160.250000000, A.D. 2023-Aug-03 18:00:00.0000,  3.349958964688322E+05, -1.281362990571191E+05, -2.368604351996304E+04,
2460160.270833333, A.D. 2023-Aug-03 18:30:00.0000,  3.357538389733746E+05, -1.263225430335445E+05, -2.357606970107046E+04,
2460160.291666667, A.D. 2023-Aug-03 19:00:00.0000,  3.365023691359508E+05, -1.245053048346695E+05, -2.346542963658332E+04,
2460160.312500000, A.D. 2023-Aug-03 19:30:00.0000,  3.372414702705853E+05, -1.226846372747513E+05, -2.335412677617178E+04,
2460160.333333333, A.D. 2023-Aug-03 20:00:00.0000,  3.379711260292323E+05, -1.208605932321734E+05, -2.324216458884933E+04,
2460160.354166667, A.D. 2023-Aug-03 20:30:00.0000,  3.386913204018364E+05, -1.190332256468297E+05, -2.312954656277016E+04,
2460160.375000000, A.D. 2023-Aug-03 21:00:00.0000,  3.394020377163688E+05, -1.172025875175150E+05, -2.301627620502558E+04,
2460160.395833333, A.D. 2023-Aug-03 21:30:00.0000,  3.401032626388384E+05, -1.153687318993192E+05, -2.290235704143977E+04,
2460160.416666667, A.D. 2023-Aug-03 22:00:00.0000,  3.407949801732781E+05, -1.135317119010279E+05, -2.278779261636516E+04,
2460160.437500000, A.D. 2023-Aug-03 22:30:00.0000,  3.414771756617060E+05, -1.116915806825287E+05, -2.267258649247701E+04,
2460160.458333333, A.D. 2023-Aug-03 23:00:00.0000,  3.421498347840619E+05, -1.098483914522237E+05, -2.255674225056738E+04,
2460160.479166667, A.D. 2023-Aug-03 23:30:00.0000,  3.428129435581201E+05, -1.080021974644472E+05, -2.244026348933874E+04,
2460160.500000000, A.D. 2023-Aug-04 00:00:00.0000,  3.434664883393764E+05, -1.061530520168920E+05, -2.232315382519695E+04,
2460160.520833333, A.D. 2023-Aug-04 00:30:00.0000,  3.441104558209297E+05, -1.043010084480304E+05, -2.220541689204379E+04,
2460160.541666667, A.D. 2023-Aug-04 01:00:00.0000,  3.447448330333101E+05, -1.024461201345534E+05, -2.208705634106843E+04,
2460160.562500000, A.D. 2023-Aug-04 01:30:00.0000,  3.453696073442780E+05, -1.005884404888310E+05, -2.196807584053946E+04,
2460160.583333333, A.D. 2023-Aug-04 02:00:00.0000,  3.459847664586309E+05, -9.872802295635956E+04, -2.184847907559633E+04,
2460160.604166667, A.D. 2023-Aug-04 02:30:00.0000,  3.465902984179723E+05, -9.686492101322410E+04, -2.172826974804018E+04,
2460160.625000000, A.D. 2023-Aug-04 03:00:00.0000,  3.471861916004570E+05, -9.499918816356773E+04, -2.160745157612419E+04,
2460160.645833333, A.D. 2023-Aug-04 03:30:00.0000,  3.477724347205131E+05, -9.313087793706985E+04, -2.148602829434395E+04,
2460160.666666667, A.D. 2023-Aug-04 04:00:00.0000,  3.483490168285411E+05, -9.126004388643293E+04, -2.136400365322718E+04,
2460160.687500000, A.D. 2023-Aug-04 04:30:00.0000,  3.489159273105898E+05, -8.938673958487848E+04, -2.124138141912339E+04,
2460160.708333333, A.D. 2023-Aug-04 05:00:00.0000,  3.494731558880100E+05, -8.751101862365166E+04, -2.111816537399329E+04,
2460160.729166667, A.D. 2023-Aug-04 05:30:00.0000,  3.500206926170855E+05, -8.563293460953592E+04, -2.099435931519777E+04,
2460160.750000000, A.D. 2023-Aug-04 06:00:00.0000,  3.505585278886414E+05, -8.375254116237667E+04, -2.086996705528708E+04,
2460160.770833333, A.D. 2023-Aug-04 06:30:00.0000,  3.510866524276307E+05, -8.186989191261542E+04, -2.074499242178945E+04,
2460160.791666667, A.D. 2023-Aug-04 07:00:00.0000,  3.516050572926988E+05, -7.998504049883338E+04, -2.061943925699984E+04,
2460160.812500000, A.D. 2023-Aug-04 07:30:00.0000,  3.521137338757261E+05, -7.809804056530593E+04, -2.049331141776849E+04,
2460160.833333333, A.D. 2023-Aug-04 08:00:00.0000,  3.526126739013491E+05, -7.620894575956733E+04, -2.036661277528929E+04,
2460160.854166667, A.D. 2023-Aug-04 08:30:00.0000,  3.531018694264602E+05, -7.431780972998629E+04, -2.023934721488832E+04,
2460160.875000000, A.D. 2023-Aug-04 09:00:00.0000,  3.535813128396859E+05, -7.242468612335250E+04, -2.011151863581206E+04,
2460160.895833333, A.D. 2023-Aug-04 09:30:00.0000,  3.540509968608447E+05, -7.052962858247434E+04, -1.998313095101591E+04,
2460160.916666667, A.D. 2023-Aug-04 10:00:00.0000,  3.545109145403830E+05, -6.863269074378804E+04, -1.985418808695238E+04,
2460160.937500000, A.D. 2023-Aug-04 10:30:00.0000,  3.549610592587923E+05, -6.673392623497828E+04, -1.972469398335964E+04,
2460160.958333333, A.D. 2023-Aug-04 11:00:00.0000,  3.554014247260038E+05, -6.483338867261092E+04, -1.959465259304989E+04,
2460160.979166667, A.D. 2023-Aug-04 11:30:00.0000,  3.558320049807647E+05, -6.293113165977722E+04, -1.946406788169800E+04,
2460161.000000000, A.D. 2023-Aug-04 12:00:00.0000,  3.562527943899928E+05, -6.102720878375085E+04, -1.933294382763008E+04,
2460161.020833333, A.D. 2023-Aug-04 12:30:00.0000,  3.566637876481133E+05, -5.912167361365676E+04, -1.920128442161237E+04,
2460161.041666667, A.D. 2023-Aug-04 13:00:00.0000,  3.570649797763740E+05, -5.721457969815291E+04, -1.906909366664008E+04,
2460161.062500000, A.D. 2023-Aug-04 13:30:00.0000,  3.574563661221428E+05, -5.530598056312474E+04, -1.893637557772669E+04,
2460161.083333333, A.D. 2023-Aug-04 14:00:00.0000,  3.578379423581848E+05, -5.339592970939237E+04, -1.880313418169314E+04,
2460161.104166667, A.D. 2023-Aug-04 14:30:00.0000,  3.582097044819220E+05, -5.148448061043099E+04, -1.866937351695747E+04,
2460161.125000000, A.D. 2023-Aug-04 15:00:00.0000,  3.585716488146723E+05, -4.957168671010490E+04, -1.853509763332463E+04,
2460161.145833333, A.D. 2023-Aug-04 15:30:00.0000,  3.589237720008719E+05, -4.765760142041415E+04, -1.840031059177659E+04,
2460161.166666667, A.D. 2023-Aug-04 16:00:00.0000,  3.592660710072787E+05, -4.574227811925566E+04, -1.826501646426261E+04,
2460161.187500000, A.D. 2023-Aug-04 16:30:00.0000,  3.595985431221572E+05, -4.382577014819757E+04, -1.812921933349017E+04,
2460161.208333333, A.D. 2023-Aug-04 17:00:00.0000,  3.599211859544464E+05, -4.190813081026771E+04, -1.799292329271575E+04,
2460161.229166667, A.D. 2023-Aug-04 17:30:00.0000,  3.602339974329098E+05, -3.998941336775591E+04, -1.785613244553639E+04,
2460161.250000000, A.D. 2023-Aug-04 18:00:00.0000,  3.605369758052681E+05, -3.806967104003110E+04, -1.771885090568142E+04,
2460161.270833333, A.D. 2023-Aug-04 18:30:00.0000,  3.608301196373148E+05, -3.614895700137186E+04, -1.758108279680461E+04,
2460161.291666667, A.D. 2023-Aug-04 19:00:00.0000,  3.611134278120146E+05, -3.422732437881236E+04, -1.744283225227684E+04,
2460161.312500000, A.D. 2023-Aug-04 19:30:00.0000,  3.613868995285859E+05, -3.230482625000248E+04, -1.730410341497908E+04,
2460161.333333333, A.D. 2023-Aug-04 20:00:00.0000,  3.616505343015663E+05, -3.038151564108266E+04, -1.716490043709588E+04,
2460161.354166667, A.D. 2023-Aug-04 20:30:00.0000,  3.619043319598614E+05, -2.845744552457387E+04, -1.702522747990944E+04,
2460161.375000000, A.D. 2023-Aug-04 21:00:00.0000,  3.621482926457796E+05, -2.653266881728249E+04, -1.688508871359406E+04,
2460161.395833333, A.D. 2023-Aug-04 21:30:00.0000,  3.623824168140484E+05, -2.460723837822038E+04, -1.674448831701107E+04,
2460161.416666667, A.D. 2023-Aug-04 22:00:00.0000,  3.626067052308178E+05, -2.268120700654005E+04, -1.660343047750449E+04,
2460161.437500000, A.D. 2023-Aug-04 22:30:00.0000,  3.628211589726470E+05, -2.075462743948551E+04, -1.646191939069712E+04,
2460161.458333333, A.D. 2023-Aug-04 23:00:00.0000,  3.630257794254762E+05, -1.882755235035833E+04, -1.631995926028715E+04,
2460161.479166667, A.D. 2023-Aug-04 23:30:00.0000,  3.632205682835839E+05, -1.690003434649937E+04, -1.617755429784554E+04,
2460161.500000000, A.D. 2023-Aug-05 00:00:00.0000,  3.634055275485300E+05, -1.497212596728639E+04, -1.603470872261385E+04,
2460161.520833333, A.D. 2023-Aug-05 00:30:00.0000,  3.635806595280839E+05, -1.304387968214709E+04, -1.589142676130281E+04,
2460161.541666667, A.D. 2023-Aug-05 01:00:00.0000,  3.637459668351388E+05, -1.111534788858840E+04, -1.574771264789146E+04,
2460161.562500000, A.D. 2023-Aug-05 01:30:00.0000,  3.639014523866126E+05, -9.186582910241523E+03, -1.560357062342702E+04,
2460161.583333333, A.D. 2023-Aug-05 02:00:00.0000,  3.640471194023342E+05, -7.257636994923129E+03, -1.545900493582543E+04,
2460161.604166667, A.D. 2023-Aug-05 02:30:00.0000,  3.641829714039179E+05, -5.328562312712751E+03, -1.531401983967249E+04,
2460161.625000000, A.D. 2023-Aug-05 03:00:00.0000,  3.643090122136228E+05, -3.399410954046249E+03, -1.516861959602592E+04,
2460161.645833333, A.D. 2023-Aug-05 03:30:00.0000,  3.644252459532016E+05, -1.470234927825818E+03, -1.502280847221796E+04,
2460161.666666667, A.D. 2023-Aug-05 04:00:00.0000,  3.645316770427346E+05,  4.589138404538444E+02, -1.487659074165881E+04,
2460161.687500000, A.D. 2023-Aug-05 04:30:00.0000,  3.646283101994527E+05,  2.387983510562811E+03, -1.472997068364081E+04,
2460161.708333333, A.D. 2023-Aug-05 05:00:00.0000,  3.647151504365474E+05,  4.316922329376638E+03, -1.458295258314341E+04,
2460161.729166667, A.D. 2023-Aug-05 05:30:00.0000,  3.647922030619698E+05,  6.245678632700561E+03, -1.443554073063890E+04,
2460161.750000000, A.D. 2023-Aug-05 06:00:00.0000,  3.648594736772168E+05,  8.174200847077083E+03, -1.428773942189902E+04,
2460161.770833333, A.D. 2023-Aug-05 06:30:00.0000,  3.649169681761066E+05,  1.010243749157680E+04, -1.413955295780231E+04,
2460161.791666667, A.D. 2023-Aug-05 07:00:00.0000,  3.649646927435430E+05,  1.203033717957242E+04, -1.399098564414233E+04,
2460161.812500000, A.D. 2023-Aug-05 07:30:00.0000,  3.650026538542679E+05,  1.395784862049621E+04, -1.384204179143672E+04,
2460161.833333333, A.D. 2023-Aug-05 08:00:00.0000,  3.650308582716041E+05,  1.588492062158033E+04, -1.369272571473718E+04,
2460161.854166667, A.D. 2023-Aug-05 08:30:00.0000,  3.650493130461871E+05,  1.781150208958043E+04, -1.354304173344023E+04,
2460161.875000000, A.D. 2023-Aug-05 09:00:00.0000,  3.650580255146861E+05,  1.973754203248238E+04, -1.339299417109894E+04,
2460161.895833333, A.D. 2023-Aug-05 09:30:00.0000,  3.650570032985162E+05,  2.166298956119185E+04, -1.324258735523549E+04,
2460161.916666667, A.D. 2023-Aug-05 10:00:00.0000,  3.650462543025393E+05,  2.358779389120709E+04, -1.309182561715475E+04,
2460161.937500000, A.D. 2023-Aug-05 10:30:00.0000,  3.650257867137568E+05,  2.551190434427459E+04, -1.294071329175864E+04,
2460161.958333333, A.D. 2023-Aug-05 11:00:00.0000,  3.649956089999916E+05,  2.743527035002767E+04, -1.278925471736155E+04,
2460161.979166667, A.D. 2023-Aug-05 11:30:00.0000,  3.649557299085623E+05,  2.935784144760815E+04, -1.263745423550669E+04,
2460162.000000000, A.D. 2023-Aug-05 12:00:00.0000,  3.649061584649473E+05,  3.127956728727075E+04, -1.248531619078330E+04,
2460162.020833333, A.D. 2023-Aug-05 12:30:00.0000,  3.648469039714412E+05,  3.320039763197053E+04, -1.233284493064499E+04,
2460162.041666667, A.D. 2023-Aug-05 13:00:00.0000,  3.647779760058019E+05,  3.512028235893307E+04, -1.218004480522889E+04,
2460162.062500000, A.D. 2023-Aug-05 13:30:00.0000,  3.646993844198904E+05,  3.703917146120776E+04, -1.202692016717599E+04,
2460162.083333333, A.D. 2023-Aug-05 14:00:00.0000,  3.646111393383015E+05,  3.895701504920363E+04, -1.187347537145226E+04,
2460162.104166667, A.D. 2023-Aug-05 14:30:00.0000,  3.645132511569876E+05,  4.087376335220839E+04, -1.171971477517093E+04,
2460162.125000000, A.D. 2023-Aug-05 15:00:00.0000,  3.644057305418748E+05,  4.278936671989004E+04, -1.156564273741580E+04,
2460162.145833333, A.D. 2023-Aug-05 15:30:00.0000,  3.642885884274711E+05,  4.470377562378154E+04, -1.141126361906548E+04,
2460162.166666667, A.D. 2023-Aug-05 16:00:00.0000,  3.641618360154686E+05,  4.661694065874829E+04, -1.125658178261872E+04,
2460162.187500000, A.D. 2023-Aug-05 16:30:00.0000,  3.640254847733371E+05,  4.852881254443841E+04, -1.110160159202081E+04,
2460162.208333333, A.D. 2023-Aug-05 17:00:00.0000,  3.638795464329130E+05,  5.043934212671604E+04, -1.094632741249101E+04,
2460162.229166667, A.D. 2023-Aug-05 17:30:00.0000,  3.637240329889802E+05,  5.234848037907749E+04, -1.079076361035104E+04,
2460162.250000000, A.D. 2023-Aug-05 18:00:00.0000,  3.635589566978455E+05,  5.425617840405020E+04, -1.063491455285469E+04,
2460162.270833333, A.D. 2023-Aug-05 18:30:00.0000,  3.633843300759075E+05,  5.616238743457483E+04, -1.047878460801836E+04,
2460162.291666667, A.D. 2023-Aug-05 19:00:00.0000,  3.632001658982206E+05,  5.806705883537017E+04, -1.032237814445295E+04,
2460162.312500000, A.D. 2023-Aug-05 19:30:00.0000,  3.630064771970520E+05,  5.997014410428105E+04, -1.016569953119654E+04,
2460162.333333333, A.D. 2023-Aug-05 20:00:00.0000,  3.628032772604344E+05,  6.187159487360931E+04, -1.000875313754843E+04,
2460162.354166667, A.D. 2023-Aug-05 20:30:00.0000,  3.625905796307131E+05,  6.377136291142776E+04, -9.851543332904112E+03,
2460162.375000000, A.D. 2023-Aug-05 21:00:00.0000,  3.623683981030880E+05,  6.566940012287720E+04, -9.694074486591431E+03,
2460162.395833333, A.D. 2023-Aug-05 21:30:00.0000,  3.621367467241513E+05,  6.756565855144658E+04, -9.536350967707862E+03,
2460162.416666667, A.D. 2023-Aug-05 22:00:00.0000,  3.618956397904198E+05,  6.946009038023633E+04, -9.378377144958900E+03,
2460162.437500000, A.D. 2023-Aug-05 22:30:00.0000,  3.616450918468634E+05,  7.135264793320467E+04, -9.220157386497547E+03,
2460162.458333333, A.D. 2023-Aug-05 23:00:00.0000,  3.613851176854297E+05,  7.324328367639748E+04, -9.061696059765014E+03,
2460162.479166667, A.D. 2023-Aug-05 23:30:00.0000,  3.611157323435634E+05,  7.513195021916108E+04, -8.902997531332479E+03,
2460162.500000000, A.D. 2023-Aug-06 00:00:00.0000,  3.608369511027234E+05,  7.701860031533861E+04, -8.744066166744065E+03,
2460162.520833333, A.D. 2023-Aug-06 00:30:00.0000,  3.605487894868954E+05,  7.890318686444951E+04, -8.584906330360864E+03,
2460162.541666667, A.D. 2023-Aug-06 01:00:00.0000,  3.602512632611010E+05,  8.078566291285257E+04, -8.425522385206245E+03,
2460162.562500000, A.D. 2023-Aug-06 01:30:00.0000,  3.599443884299041E+05,  8.266598165489250E+04, -8.265918692812211E+03,
2460162.583333333, A.D. 2023-Aug-06 02:00:00.0000,  3.596281812359142E+05,  8.454409643402972E+04, -8.106099613066970E+03,
2460162.604166667, A.D. 2023-Aug-06 02:30:00.0000,  3.593026581582865E+05,  8.641996074395409E+04, -7.946069504063646E+03,
2460162.625000000, A.D. 2023-Aug-06 03:00:00.0000,  3.589678359112194E+05,  8.829352822968192E+04, -7.785832721950195E+03,
2460162.645833333, A.D. 2023-Aug-06 03:30:00.0000,  3.586237314424498E+05,  9.016475268863700E+04, -7.625393620780429E+03,
2460162.666666667, A.D. 2023-Aug-06 04:00:00.0000,  3.582703619317462E+05,  9.203358807171513E+04, -7.464756552366292E+03,
2460162.687500000, A.D. 2023-Aug-06 04:30:00.0000,  3.579077447893991E+05,  9.389998848433250E+04, -7.303925866131205E+03,
2460162.708333333, A.D. 2023-Aug-06 05:00:00.0000,  3.575358976547099E+05,  9.576390818745809E+04, -7.142905908964720E+03,
2460162.729166667, A.D. 2023-Aug-06 05:30:00.0000,  3.571548383944781E+05,  9.762530159862993E+04, -6.981701025078262E+03,
2460162.750000000, A.D. 2023-Aug-06 06:00:00.0000,  3.567645851014865E+05,  9.948412329295526E+04, -6.820315555862042E+03,
2460162.770833333, A.D. 2023-Aug-06 06:30:00.0000,  3.563651560929856E+05,  1.013403280040951E+05, -6.658753839743236E+03,
2460162.791666667, A.D. 2023-Aug-06 07:00:00.0000,  3.559565699091764E+05,  1.031938706252326E+05, -6.497020212045278E+03,
2460162.812500000, A.D. 2023-Aug-06 07:30:00.0000,  3.555388453116913E+05,  1.050447062100259E+05, -6.335119004848377E+03,
2460162.833333333, A.D. 2023-Aug-06 08:00:00.0000,  3.551120012820764E+05,  1.068927899735452E+05, -6.173054546851199E+03,
2460162.854166667, A.D. 2023-Aug-06 08:30:00.0000,  3.546760570202701E+05,  1.087380772931942E+05, -6.010831163233728E+03,
2460162.875000000, A.D. 2023-Aug-06 09:00:00.0000,  3.542310319430837E+05,  1.105805237096162E+05, -5.848453175521354E+03,
2460162.895833333, A.D. 2023-Aug-06 09:30:00.0000,  3.537769456826795E+05,  1.124200849275844E+05, -5.685924901450133E+03,
2460162.916666667, A.D. 2023-Aug-06 10:00:00.0000,  3.533138180850504E+05,  1.142567168168771E+05, -5.523250654833202E+03,
2460162.937500000, A.D. 2023-Aug-06 10:30:00.0000,  3.528416692084981E+05,  1.160903754131379E+05, -5.360434745428458E+03,
2460162.958333333, A.D. 2023-Aug-06 11:00:00.0000,  3.523605193221121E+05,  1.179210169187197E+05, -5.197481478807298E+03,
2460162.979166667, A.D. 2023-Aug-06 11:30:00.0000,  3.518703889042481E+05,  1.197485977035150E+05, -5.034395156224746E+03,
2460163.000000000, A.D. 2023-Aug-06 12:00:00.0000,  3.513712986410081E+05,  1.215730743057698E+05, -4.871180074490570E+03,
2460163.020833333, A.D. 2023-Aug-06 12:30:00.0000,  3.508632694247192E+05,  1.233944034328838E+05, -4.707840525841653E+03,
2460163.041666667, A.D. 2023-Aug-06 13:00:00.0000,  3.503463223524148E+05,  1.252125419621948E+05, -4.544380797815647E+03,
2460163.062500000, A.D. 2023-Aug-06 13:30:00.0000,  3.498204787243149E+05,  1.270274469417487E+05, -4.380805173125671E+03,
2460163.083333333, A.D. 2023-Aug-06 14:00:00.0000,  3.492857600423093E+05,  1.288390755910551E+05, -4.217117929536238E+03,
2460163.104166667, A.D. 2023-Aug-06 14:30:00.0000,  3.487421880084396E+05,  1.306473853018281E+05, -4.053323339740426E+03,
2460163.125000000, A.D. 2023-Aug-06 15:00:00.0000,  3.481897845233843E+05,  1.324523336387126E+05, -3.889425671238176E+03,
2460163.145833333, A.D. 2023-Aug-06 15:30:00.0000,  3.476285716849440E+05,  1.342538783399963E+05, -3.725429186215741E+03,
2460163.166666667, A.D. 2023-Aug-06 16:00:00.0000,  3.470585717865291E+05,  1.360519773183072E+05, -3.561338141426349E+03,
2460163.187500000, A.D. 2023-Aug-06 16:30:00.0000,  3.464798073156478E+05,  1.378465886612976E+05, -3.397156788072098E+03,
2460163.208333333, A.D. 2023-Aug-06 17:00:00.0000,  3.458923009523974E+05,  1.396376706323132E+05, -3.232889371686899E+03,
2460163.229166667, A.D. 2023-Aug-06 17:30:00.0000,  3.452960755679559E+05,  1.414251816710487E+05, -3.068540132020673E+03,
2460163.250000000, A.D. 2023-Aug-06 18:00:00.0000,  3.446911542230767E+05,  1.432090803941897E+05, -2.904113302924656E+03,
2460163.270833333, A.D. 2023-Aug-06 18:30:00.0000,  3.440775601665851E+05,  1.449893255960399E+05, -2.739613112238025E+03,
2460163.291666667, A.D. 2023-Aug-06 19:00:00.0000,  3.434553168338765E+05,  1.467658762491362E+05, -2.575043781675471E+03,
2460163.312500000, A.D. 2023-Aug-06 19:30:00.0000,  3.428244478454180E+05,  1.485386915048485E+05, -2.410409526716037E+03,
2460163.333333333, A.D. 2023-Aug-06 20:00:00.0000,  3.421849770052512E+05,  1.503077306939673E+05, -2.245714556493091E+03,
2460163.354166667, A.D. 2023-Aug-06 20:30:00.0000,  3.415369282994989E+05,  1.520729533272774E+05, -2.080963073685569E+03,
2460163.375000000, A.D. 2023-Aug-06 21:00:00.0000,  3.408803258948731E+05,  1.538343190961189E+05, -1.916159274410107E+03,
2460163.395833333, A.D. 2023-Aug-06 21:30:00.0000,  3.402151941371872E+05,  1.555917878729335E+05, -1.751307348114584E+03,
2460163.416666667, A.D. 2023-Aug-06 22:00:00.0000,  3.395415575498699E+05,  1.573453197118004E+05, -1.586411477472684E+03,
2460163.437500000, A.D. 2023-Aug-06 22:30:00.0000,  3.388594408324830E+05,  1.590948748489564E+05, -1.421475838279555E+03,
2460163.458333333, A.D. 2023-Aug-06 23:00:00.0000,  3.381688688592421E+05,  1.608404137033055E+05, -1.256504599348649E+03,
2460163.479166667, A.D. 2023-Aug-06 23:30:00.0000,  3.374698666775397E+05,  1.625818968769143E+05, -1.091501922409770E+03,
2460163.500000000, A.D. 2023-Aug-07 00:00:00.0000,  3.367624595064732E+05,  1.643192851554955E+05, -9.264719620081232E+02,
2460163.520833333, A.D. 2023-Aug-07 00:30:00.0000,  3.360466727353749E+05,  1.660525395088787E+05, -7.614188654045429E+02,
2460163.541666667, A.D. 2023-Aug-07 01:00:00.0000,  3.353225319223463E+05,  1.677816210914692E+05, -5.963467724767761E+02,
2460163.562500000, A.D. 2023-Aug-07 01:30:00.0000,  3.345900627927957E+05,  1.695064912426934E+05, -4.312598156220556E+02,
2460163.583333333, A.D. 2023-Aug-07 02:00:00.0000,  3.338492912379797E+05,  1.712271114874335E+05, -2.661621196605411E+02,
2460163.604166667, A.D. 2023-Aug-07 02:30:00.0000,  3.331002433135486E+05,  1.729434435364495E+05, -1.010578017399457E+02,
2460163.625000000, A.D. 2023-Aug-07 03:00:00.0000,  3.323429452380951E+05,  1.746554492867885E+05,  6.404902875855623E+01,
2460163.645833333, A.D. 2023-Aug-07 03:30:00.0000,  3.315774233917077E+05,  1.763630908221837E+05,  2.291542703136001E+02,
2460163.666666667, A.D. 2023-Aug-07 04:00:00.0000,  3.308037043145279E+05,  1.780663304134405E+05,  3.942538293557009E+02,
2460163.687500000, A.D. 2023-Aug-07 04:30:00.0000,  3.300218147053114E+05,  1.797651305188113E+05,  5.593436203582023E+02,
2460163.708333333, A.D. 2023-Aug-07 05:00:00.0000,  3.292317814199937E+05,  1.814594537843592E+05,  7.244195659272082E+02,
2460163.729166667, A.D. 2023-Aug-07 05:30:00.0000,  3.284336314702598E+05,  1.831492630443098E+05,  8.894775968903414E+02,
2460163.750000000, A.D. 2023-Aug-07 06:00:00.0000,  3.276273920221190E+05,  1.848345213213917E+05,  1.054513652384630E+03,
2460163.770833333, A.D. 2023-Aug-07 06:30:00.0000,  3.268130903944828E+05,  1.865151918271668E+05,  1.219523679943231E+03,
2460163.791666667, A.D. 2023-Aug-07 07:00:00.0000,  3.259907540577492E+05,  1.881912379623478E+05,  1.384503635580913E+03,
2460163.812500000, A.D. 2023-Aug-07 07:30:00.0000,  3.251604106323896E+05,  1.898626233171070E+05,  1.549449483878867E+03,
2460163.833333333, A.D. 2023-Aug-07 08:00:00.0000,  3.243220878875420E+05,  1.915293116713720E+05,  1.714357198068115E+03,
2460163.854166667, A.D. 2023-Aug-07 08:30:00.0000,  3.234758137396083E+05,  1.931912669951125E+05,  1.879222760112170E+03,
2460163.875000000, A.D. 2023-Aug-07 09:00:00.0000,  3.226216162508560E+05,  1.948484534486154E+05,  2.044042160788464E+03,
2460163.895833333, A.D. 2023-Aug-07 09:30:00.0000,  3.217595236280258E+05,  1.965008353827503E+05,  2.208811399768791E+03,
2460163.916666667, A.D. 2023-Aug-07 10:00:00.0000,  3.208895642209435E+05,  1.981483773392235E+05,  2.373526485698821E+03,
2460163.937500000, A.D. 2023-Aug-07 10:30:00.0000,  3.200117665211366E+05,  1.997910440508228E+05,  2.538183436276551E+03,
2460163.958333333, A.D. 2023-Aug-07 11:00:00.0000,  3.191261591604569E+05,  2.014288004416521E+05,  2.702778278329672E+03,
2460163.979166667, A.D. 2023-Aug-07 11:30:00.0000,  3.182327709097076E+05,  2.030616116273548E+05,  2.867307047892042E+03,
